total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,exposure,entries,turnover,observations,start_date,end_date,ticker,strategy,transaction_cost_bps
13.530330855098804,0.2760048959231389,0.2790612603218912,1.0133454700087807,0.3851590639543526,0.5330683050234911,1.0,1,1.0,2767,2014-01-02,2024-12-31,AAPL,Buy & Hold,0.0
6.520196993042831,0.20171406162912842,0.2435453107089231,0.8765842895943317,0.456128133064836,0.5315813739050254,0.7838814600650524,6,11.0,2767,2014-01-02,2024-12-31,AAPL,SMA 50/200,0.0
5.173135062657796,0.18030438631344414,0.2547143293849741,0.7784178864965922,0.3642353091666072,0.5280135823429541,0.8514636790748102,32,63.0,2767,2014-01-02,2024-12-31,AAPL,Momentum 12M (absolute),0.0
0.37556679573270246,0.02946596464688689,0.14034989528830852,0.27717141424720804,0.25886889035770655,0.53125,0.09251897361763643,15,30.0,2767,2014-01-02,2024-12-31,AAPL,RSI 14,0.0
4.41087569296721,0.16622176838655367,0.2900464729857141,0.6755998732213672,0.4463249755123687,0.5193350198771233,1.0,1,1.0,2767,2014-01-02,2024-12-31,CAT,Buy & Hold,0.0
1.053878081698524,0.06774421230727445,0.21531874211231603,0.41253376076659987,0.595322732766468,0.521594684385382,0.6526924466931695,9,17.0,2767,2014-01-02,2024-12-31,CAT,SMA 50/200,0.0
1.735975066995998,0.09599676659376222,0.21420063203114154,0.5351235163163524,0.427223086893042,0.5202774813233725,0.6772677990603542,24,47.0,2767,2014-01-02,2024-12-31,CAT,Momentum 12M (absolute),0.0
0.7568257370012008,0.05266034970308886,0.136071380006195,0.4457999075909449,0.2801721684704258,0.5277777777777778,0.13010480664980123,21,41.0,2767,2014-01-02,2024-12-31,CAT,RSI 14,0.0
1.2402972191814188,0.07622608310617429,0.21994986809999084,0.4446206689447042,0.4113330020931796,0.5305384893386339,1.0,1,1.0,2767,2014-01-02,2024-12-31,IWM,Buy & Hold,0.0
0.04081799991489676,0.0036502127103261728,0.16671642744598822,0.10625933523277523,0.502813984406888,0.5268267756770567,0.7072641850379472,9,17.0,2767,2014-01-02,2024-12-31,IWM,SMA 50/200,0.0
0.41241390672135325,0.03194735573168073,0.14536665282957653,0.28909000420911757,0.25431928069795984,0.5269210663878725,0.6913624864474159,42,83.0,2767,2014-01-02,2024-12-31,IWM,Momentum 12M (absolute),0.0
0.15251368393224807,0.01301136297852068,0.11936922949834353,0.16897934908860232,0.36797031515536616,0.545816733067729,0.09071196241416697,16,32.0,2767,2014-01-02,2024-12-31,IWM,RSI 14,0.0
1.151718804364382,0.07227923686179993,0.17760894066301228,0.48188769582543733,0.2736626157027995,0.5182508131550415,1.0,1,1.0,2767,2014-01-02,2024-12-31,JNJ,Buy & Hold,0.0
0.02535719910887324,0.002283174141196831,0.15298277027154172,0.09156364530607891,0.4151707063366794,0.5065002600104004,0.6949765088543549,11,21.0,2767,2014-01-02,2024-12-31,JNJ,SMA 50/200,0.0
0.0851101265315648,0.007466745453620138,0.14491193379341397,0.12429294858954751,0.3670312048387617,0.512033978291647,0.7658113480303578,40,80.0,2767,2014-01-02,2024-12-31,JNJ,Momentum 12M (absolute),0.0
0.11004189041860912,0.00955319793658349,0.09749189309032215,0.1460536535950575,0.22539720556294052,0.5267857142857143,0.12143115287314782,17,33.0,2767,2014-01-02,2024-12-31,JNJ,RSI 14,0.0
4.537901854951091,0.16868899214141875,0.2664180621422771,0.7181023023834967,0.436265133029329,0.5211420310805926,1.0,1,1.0,2767,2014-01-02,2024-12-31,JPM,Buy & Hold,0.0
2.389727517349831,0.117593561558194,0.2166191224209545,0.6218449497776032,0.43626513302932923,0.5290055248618785,0.7849656667871341,6,11.0,2767,2014-01-02,2024-12-31,JPM,SMA 50/200,0.0
0.5141163230614871,0.038502887227004345,0.1948253899657302,0.29243048734806415,0.5527320124683932,0.5217807563427477,0.7549692808095411,31,61.0,2767,2014-01-02,2024-12-31,JPM,Momentum 12M (absolute),0.0
0.528050944914336,0.03936970020663977,0.14988910596411853,0.33253808166468435,0.3759475969782341,0.5142857142857142,0.08854354897000362,17,34.0,2767,2014-01-02,2024-12-31,JPM,RSI 14,0.0
5.426955019510074,0.1846437233302758,0.2121355821198353,0.9054137075009294,0.35118721469005865,0.5619804842790025,1.0,1,1.0,2767,2014-01-02,2024-12-31,QQQ,Buy & Hold,0.0
4.517639969564503,0.16829891711025935,0.18330697222257653,0.9408844824356064,0.2855935168730219,0.5714285714285714,0.8424286230574629,6,11.0,2767,2014-01-02,2024-12-31,QQQ,SMA 50/200,0.0
2.9936882104688434,0.1344077055449242,0.18385816409135808,0.7785794348043606,0.3124520239734727,0.5687732342007435,0.8749548247199133,23,45.0,2767,2014-01-02,2024-12-31,QQQ,Momentum 12M (absolute),0.0
0.5485393142425039,0.04063123435880667,0.10805856333161422,0.42283502906836284,0.2241772780900907,0.5621301775147929,0.0610769786772678,14,28.0,2767,2014-01-02,2024-12-31,QQQ,RSI 14,0.0
2.8881324421120094,0.13164367836813717,0.171328786995064,0.8080223483844874,0.33717253980342077,0.5500542103361041,1.0,1,1.0,2767,2014-01-02,2024-12-31,SPY,Buy & Hold,0.0
1.6248085298290422,0.09186421149242863,0.14318269429331343,0.6859426689443267,0.337172539803421,0.5569675723049956,0.8247199132634623,6,11.0,2767,2014-01-02,2024-12-31,SPY,SMA 50/200,0.0
1.2622584049073677,0.07718265577102024,0.13541646506134417,0.6173755096367944,0.31168200719205996,0.5538201772899958,0.8561619082038309,27,53.0,2767,2014-01-02,2024-12-31,SPY,Momentum 12M (absolute),0.0
0.21008530023476557,0.017518538280085538,0.10211431776127113,0.22144573111665264,0.2858601467545525,0.5568862275449101,0.06035417419588002,13,26.0,2767,2014-01-02,2024-12-31,SPY,RSI 14,0.0
3.3007945927950653,0.1420875883895636,0.20535784495967677,0.7497205860391074,0.36435187158396176,0.5305384893386339,1.0,1,1.0,2767,2014-01-02,2024-12-31,WMT,Buy & Hold,0.0
1.1321703360418298,0.07138834227067692,0.17668739325288357,0.478546786953823,0.41456559765752676,0.5358527131782945,0.7459342247921937,11,21.0,2767,2014-01-02,2024-12-31,WMT,SMA 50/200,0.0
