strategy,median_total_return,median_annualized_return,median_annualized_volatility,median_sharpe_ratio,median_max_drawdown,median_win_rate,median_exposure,tickers_beating_buy_hold,ticker_count
Buy & Hold,3.3007945927950653,0.1420875883895636,0.21994986809999084,0.7181023023834967,0.3851590639543526,0.5305384893386339,1.0,0,9
SMA 50/200,1.1321703360418298,0.07138834227067692,0.18145798305442387,0.478546786953823,0.4188617132173459,0.5290055248618785,0.7459342247921937,0,9
Momentum 12M (absolute),1.2622584049073677,0.07718265577102024,0.1804451969051078,0.5351235163163524,0.31362150845573833,0.5269210663878725,0.7658113480303578,0,9
RSI 14,0.3617369313365906,0.028519003462692316,0.11936922949834353,0.27717141424720804,0.2801721684704258,0.5307692307692308,0.09251897361763643,0,9
