total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,exposure,entries,turnover,observations,start_date,end_date,ticker,strategy,transaction_cost_bps
2.884243672665349,0.13154055200234116,0.17132943201192433,0.8074877376546351,0.33717253980342077,0.5500542103361041,1.0,1,1.0,2767,2014-01-02,2024-12-31,SPY,Buy & Hold,10.0
1.596036997570582,0.09076874626107245,0.14319921854664439,0.6788676184523046,0.337172539803421,0.5569675723049956,0.8247199132634623,6,11.0,2767,2014-01-02,2024-12-31,SPY,SMA 50/200,10.0
1.1452394446955934,0.07198476695596145,0.13550040877300193,0.5813703553892803,0.3158121575512457,0.5529759392148585,0.8561619082038309,27,53.0,2767,2014-01-02,2024-12-31,SPY,Momentum 12M (absolute),10.0
0.17896453556116332,0.01510697774620784,0.10216155159101045,0.19816527801128175,0.2872903460885208,0.5508982035928144,0.06035417419588002,13,26.0,2767,2014-01-02,2024-12-31,SPY,RSI 14,10.0
5.420481332761134,0.18453499957415143,0.21213922432167084,0.9049688531161546,0.3511872146900582,0.5619804842790025,1.0,1,1.0,2767,2014-01-02,2024-12-31,QQQ,Buy & Hold,10.0
4.457231782082154,0.16712818266116347,0.18331448579742424,0.9353809543712714,0.2855935168730217,0.5714285714285714,0.8424286230574629,6,11.0,2767,2014-01-02,2024-12-31,QQQ,SMA 50/200,10.0
2.817383317380518,0.1297526435524181,0.18394092298036774,0.7559486046929819,0.31522471077440717,0.5687732342007435,0.8749548247199133,23,45.0,2767,2014-01-02,2024-12-31,QQQ,Momentum 12M (absolute),10.0
0.50579406970144,0.0379817308374224,0.10805177905704258,0.39926127948617685,0.2241772780900907,0.5502958579881657,0.0610769786772678,14,28.0,2767,2014-01-02,2024-12-31,QQQ,RSI 14,10.0
1.238068251208011,0.07612851911992546,0.21994813053222506,0.4442101139384216,0.411333002093179,0.5305384893386339,1.0,1,1.0,2767,2014-01-02,2024-12-31,IWM,Buy & Hold,10.0
0.023307456460543108,0.0021005320581855003,0.16669831076543676,0.0969831636531096,0.505783969049674,0.5268267756770567,0.7072641850379472,9,17.0,2767,2014-01-02,2024-12-31,IWM,SMA 50/200,10.0
0.29989312452163164,0.024174486124610484,0.145381306222529,0.23706594683679685,0.2734934756410403,0.5263983272347099,0.6913624864474159,42,83.0,2767,2014-01-02,2024-12-31,IWM,Momentum 12M (absolute),10.0
0.1161165733041416,0.010055109423637187,0.11943594398724573,0.14448403434334067,0.37176249513525084,0.545816733067729,0.09071196241416697,16,32.0,2767,2014-01-02,2024-12-31,IWM,RSI 14,10.0
13.515474182484493,0.2758860206136773,0.27906896108480805,1.012991160100979,0.3851590639543525,0.5330683050234911,1.0,1,1.0,2767,2014-01-02,2024-12-31,AAPL,Buy & Hold,10.0
6.437559523075096,0.200505360325679,0.24356678544869304,0.8723939340463501,0.4572303850601236,0.5311203319502075,0.7838814600650524,6,11.0,2767,2014-01-02,2024-12-31,AAPL,SMA 50/200,10.0
4.795940319547304,0.17354638957165647,0.2547462438908779,0.7557974752690221,0.3767321116992398,0.5271646859083192,0.8514636790748102,32,63.0,2767,2014-01-02,2024-12-31,AAPL,Momentum 12M (absolute),10.0
0.3349197506603987,0.02665759285361058,0.1403458767529071,0.2577117252296691,0.2588688903577063,0.53125,0.09251897361763643,15,30.0,2767,2014-01-02,2024-12-31,AAPL,RSI 14,10.0
4.5324064385016,0.16858332459433645,0.26641584890145154,0.7177664213475475,0.43626513302932934,0.5211420310805926,1.0,1,1.0,2767,2014-01-02,2024-12-31,JPM,Buy & Hold,10.0
2.3524305399354577,0.1164680094099193,0.21664779910421686,0.6171385116504563,0.4362651330293291,0.5290055248618785,0.7849656667871341,6,11.0,2767,2014-01-02,2024-12-31,JPM,SMA 50/200,10.0
0.42421646794041634,0.03272973893751363,0.1949082395919683,0.26380315475194205,0.562147047169313,0.5213020584011488,0.7549692808095411,31,61.0,2767,2014-01-02,2024-12-31,JPM,Momentum 12M (absolute),10.0
0.47712519550695376,0.036166158729566966,0.14982518453072302,0.31201257323925624,0.37594759697823454,0.5142857142857142,0.08854354897000362,17,34.0,2767,2014-01-02,2024-12-31,JPM,RSI 14,10.0
